publishTime,totalMatched,md.eventName,md.name,marketId,betDelay,bspReconciled,complete,status,runnersVoidable,numberOfWinners,numberOfRunners,crossMatching,inplay,numberOfActiveRunners,version,selection_selectionId,selection_lastPriceTraded,selection_ex.availableToBack.price,selection_ex.availableToBack.size,selection_ex.availableToLay.price,selection_ex.availableToLay.size,selection_status,selection_md.name,selection_handicap,selection_totalMatched,selection_adjustmentFactor,selection_removalDate,selection_sp.actualSP,selection_sp.nearPrice,selection_sp.farPrice
2020-05-04 00:37:47.880000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:37:49.610000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.79,19.45,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:37:49.610000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.04,14.74,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:43:29.879000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:43:29.879000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:43:31.567000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.79,19.45,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:43:31.567000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.04,14.74,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:49:12.469000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:49:12.469000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:49:14.145000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:49:14.145000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:54:59.798000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:54:59.798000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:55:01.479000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:55:01.479000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:00:43.136000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:00:43.136000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:00:44.865000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:00:44.865000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:06:28,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:06:28,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:06:29.633000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:06:29.633000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:12:09.643000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:12:09.643000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:12:11.326000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:12:11.326000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:17:49.409000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:17:49.409000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:17:51.034000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:17:51.034000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:23:31.189000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:23:31.189000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:23:32.917000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:23:32.917000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:29:11.370000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:29:11.370000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:29:13.055000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.78,19.71,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 01:29:13.055000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.06,14.49,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 01:34:47.170000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
