1.73,2,0.08,L
1.75,2.3,0.08,W
1.44,2.2,0.08,W
1.48,2.76,0.08,L
1.41,2.34,0.08,W
1.49,1.88,0.08,W
1.03,1.98,0.08,W
1.61,2.34,0.08,W
1.76,2.36,0.08,W
1.56,1.87,0.08,W
2.08,2.84,0.08,L
1.48,1.7,0.08,W
1.93,2.28,0.08,W
1.98,2.3,0.08,L
1.38,1.99,0.08,W
1.26,1.89,0.08,W
1.65,2.34,0.08,W
1.37,2.42,0.08,L
1.29,2.2,0.08,L
1.45,2.04,0.08,W
1.3,2,0.08,W
1.51,2.24,0.08,W
1.4,1.77,0.08,W
1.76,2.7,0.08,L
1.89,2.94,0.08,L
2.56,3.15,0.08,L
1.64,1.9,0.08,W
1.49,2.28,0.08,L
1.29,2.44,0.08,L
1.69,2.14,0.08,L
1.77,2.2,0.08,L
1.37,2.46,0.08,W
1.3,2.5,0.08,W
1.5,3.05,0.08,L
1.66,2.44,0.08,W
1.33,1.91,0.08,W
1.26,1.64,0.08,W
1.7,2.5,0.08,L
1.78,2.6,0.08,L
1.67,2.06,0.08,W
1.73,2.32,0.08,W
1.69,2.36,0.08,W
1.41,1.62,0.08,W
1.69,2.04,0.08,W
1.6,1.92,0.08,L
1.32,2.36,0.08,L
1.67,2.18,0.08,W
1.57,1.97,0.08,L
1.54,1.78,0.08,W
1.68,2.48,0.08,W
2.27,2.76,0.08,L
2,2.46,0.08,W
1.41,2.06,0.08,L
1.53,2.06,0.08,L
1.56,1.86,0.08,W
1.69,2.12,0.08,W
1.38,1.96,0.08,W
1.18,1.87,0.08,W
1.55,2,0.08,L
1.43,1.9,0.08,W
2.24,5.5,0.08,W
1.7,2.26,0.08,W
1.57,2.02,0.08,W
